Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,COL,@,MIL,L-wo,4,5,10,0-1,3,1.0,Henderson,Ottavino,,3:13,D,45781,.93,-,
2,Tuesday Apr 2,boxscore,COL,@,MIL,W,8,4,,1-1,1,Tied,Escalona,Gonzalez,Betancourt,3:22,N,24753,.93,+,
3,Wednesday Apr 3,boxscore,COL,@,MIL,W,7,3,,2-1,1,Tied,Nicasio,Peralta,,3:31,N,25766,.95,++,
4,Friday Apr 5,boxscore,COL,,SDP,W,5,2,,3-1,1,Tied,Francis,Marquis,Betancourt,2:45,D,49077,1.08,+++,
5,Saturday Apr 6,boxscore,COL,,SDP,W,6,3,,4-1,1,Tied,Garland,Ross,Betancourt,2:54,N,31133,1.12,++++,
6,Sunday Apr 7,boxscore,COL,,SDP,W,9,1,,5-1,1,Tied,Chacín,Vólquez,,2:53,D,31060,1.16,+++++,
7,Monday Apr 8,boxscore,COL,@,SFG,L,2,4,,5-2,1,Tied,Bumgarner,De La Rosa,Romo,2:52,N,41133,1.21,-,
8,Tuesday Apr 9,boxscore,COL,@,SFG,L,6,9,,5-3,1,Tied,Casilla,Belisle,Romo,3:11,N,41910,1.18,--,
9,Wednesday Apr 10,boxscore,COL,@,SFG,L,0,10,,5-4,4,1.0,Zito,Francis,,3:08,D,41606,1.19,---,
10,Friday Apr 12,boxscore,COL,@,SDP,W,7,5,,6-4,3,1.0,Brothers,Street,Betancourt,3:06,N,21814,1.03,+,
11,Saturday Apr 13,boxscore,COL,@,SDP,W,9,5,,7-4,2,0.5,Chacín,Vólquez,,3:20,N,29523,1.09,++,
12,Sunday Apr 14,boxscore,COL,@,SDP,W,2,1,,8-4,2,0.5,De La Rosa,Thayer,Betancourt,2:52,D,21337,1.16,+++,
13,Tuesday Apr 16 (1),boxscore,COL,,NYM,W,8,4,,9-4,1,up 1.0,Nicasio,Gee,,2:59,D,21510,1.12,++++,2013-04-15 (Snow)
14,Tuesday Apr 16 (2),boxscore,COL,,NYM,W-wo,9,8,10,10-4,1,up 1.0,Betancourt,Burke,,4:19,N,20239,1.10,+++++,
15,Thursday Apr 18,boxscore,COL,,NYM,W,11,3,,11-4,1,up 2.0,Garland,Niese,,2:54,D,18341,1.18,++++++,
16,Friday Apr 19,boxscore,COL,,ARI,W,3,1,,12-4,1,up 2.5,Chacín,Kennedy,Betancourt,2:46,N,23445,1.39,+++++++,
17,Saturday Apr 20,boxscore,COL,,ARI,W,4,3,,13-4,1,up 2.5,De La Rosa,Cahill,Betancourt,2:50,N,30380,1.36,++++++++,
18,Sunday Apr 21,boxscore,COL,,ARI,L,4,5,,13-5,1,up 1.5,Bell,López,Putz,3:15,D,42507,1.41,-,
19,Tuesday Apr 23 (1),boxscore,COL,,ATL,L,3,4,,13-6,1,up 0.5,Minor,Francis,Kimbrel,2:37,D,19124,1.19,--,2013-04-22 (Snow)
20,Tuesday Apr 23 (2),boxscore,COL,,ATL,L,2,10,,13-7,1,up 0.5,Teheran,Garland,,2:51,N,21724,1.20,---,
21,Wednesday Apr 24,boxscore,COL,,ATL,W-wo,6,5,12,14-7,1,up 1.5,Belisle,Ayala,,3:48,D,35234,1.19,+,
22,Thursday Apr 25,boxscore,COL,@,ARI,L,2,3,,14-8,1,up 1.0,Cahill,De La Rosa,Putz,3:09,N,24532,1.45,-,
23,Friday Apr 26,boxscore,COL,@,ARI,W,6,3,,15-8,1,up 2.0,Nicasio,McCarthy,Betancourt,3:08,N,28801,1.40,+,
24,Saturday Apr 27,boxscore,COL,@,ARI,L-wo,2,3,10,15-9,1,up 1.0,Putz,Escalona,,3:29,N,31019,1.45,-,
25,Sunday Apr 28,boxscore,COL,@,ARI,L,2,4,,15-10,1,Tied,Corbin,Garland,Putz,2:33,D,24852,1.46,--,
26,Monday Apr 29,boxscore,COL,@,LAD,W,12,2,,16-10,1,up 1.0,Chatwood,Lilly,,3:22,N,31570,1.30,+,
27,Tuesday Apr 30,boxscore,COL,@,LAD,L,2,6,,16-11,1,up 1.0,Ryu,De La Rosa,,3:02,N,47602,1.43,-,
28,Wednesday May 1,boxscore,COL,@,LAD,W,7,3,,17-11,1,up 1.0,Outman,Beckett,,3:54,N,32848,1.32,+,
29,Friday May 3,boxscore,COL,,TBR,L,4,7,10,17-12,1,Tied,Farnsworth,Belisle,Rodney,3:35,N,30255,1.23,-,
30,Saturday May 4,boxscore,COL,,TBR,W,9,3,,18-12,1,Tied,Garland,Price,,3:04,N,29099,1.18,+,
31,Sunday May 5,boxscore,COL,,TBR,L,3,8,,18-13,2,1.0,Cobb,Chacín,,3:00,D,39220,1.19,-,
32,Tuesday May 7,boxscore,COL,,NYY,W,2,0,,19-13,1,up 0.5,De La Rosa,Kuroda,Betancourt,2:47,N,41595,1.19,+,
33,Wednesday May 8,boxscore,COL,,NYY,L,2,3,,19-14,2,0.5,Robertson,Betancourt,Rivera,2:53,N,40148,1.17,-,
34,Thursday May 9,boxscore,COL,,NYY,L,1,3,,19-15,3,0.5,Warren,Francis,Rivera,2:41,D,40972,1.15,--,
35,Friday May 10,boxscore,COL,@,STL,L,0,3,,19-16,3,1.5,Miller,Garland,,2:36,N,37800,1.19,---,
36,Saturday May 11,boxscore,COL,@,STL,L,0,3,,19-17,3,2.5,Wainwright,Chacín,,2:40,D,43050,1.13,----,
37,Sunday May 12,boxscore,COL,@,STL,W,8,2,,20-17,3,2.5,De La Rosa,García,,3:05,D,40881,1.07,+,
38,Monday May 13,boxscore,COL,@,CHC,L,1,9,,20-18,3,3.0,Wood,Nicasio,,2:41,N,35080,1.13,-,
39,Tuesday May 14,boxscore,COL,@,CHC,W,9,4,,21-18,3,2.0,Francis,Villanueva,,2:52,N,38123,1.09,+,
40,Wednesday May 15,boxscore,COL,@,CHC,L,3,6,,21-19,3,2.0,Samardzija,Garland,,2:47,N,38083,1.18,-,
41,Thursday May 16,boxscore,COL,,SFG,L,6,8,,21-20,3,3.0,Cain,Chacín,Romo,3:06,N,33128,1.36,--,
42,Friday May 17,boxscore,COL,,SFG,W,10,9,,22-20,3,2.0,De La Rosa,Bumgarner,Betancourt,3:48,N,43365,1.25,+,
43,Saturday May 18,boxscore,COL,,SFG,W,10,2,,23-20,3,2.0,Chatwood,Lincecum,,2:58,N,41412,1.33,++,
44,Sunday May 19,boxscore,COL,,SFG,W,5,0,,24-20,2,1.0,Nicasio,Zito,,3:10,D,47494,1.34,+++,
45,Monday May 20,boxscore,COL,,ARI,L,1,5,,24-21,3,2.0,Corbin,Garland,,2:32,N,23053,1.42,-,
46,Tuesday May 21,boxscore,COL,,ARI,W-wo,5,4,10,25-21,3,1.0,López,Reynolds,,3:07,N,27096,1.37,+,
47,Wednesday May 22,boxscore,COL,,ARI,W,4,1,,26-21,1,Tied,De La Rosa,Cahill,Brothers,2:52,D,31763,1.43,++,
48,Friday May 24,boxscore,COL,@,SFG,W,5,0,,27-21,1,Tied,Chatwood,Lincecum,,2:25,N,41881,1.54,+++,
49,Saturday May 25,boxscore,COL,@,SFG,L-wo,5,6,10,27-22,1,Tied,Romo,Betancourt,,3:45,D,41784,1.59,-,
50,Sunday May 26,boxscore,COL,@,SFG,L,3,7,,27-23,3,1.0,Cain,Garland,,3:37,D,42597,1.57,--,
51,Monday May 27,boxscore,COL,@,HOU,L-wo,2,3,12,27-24,3,2.5,Clemens,López,,4:21,D,16044,1.18,---,
52,Tuesday May 28,boxscore,COL,@,HOU,W,2,1,,28-24,2,2.0,Belisle,Veras,Betancourt,3:05,D,11974,1.11,+,
53,Wednesday May 29,boxscore,COL,,HOU,L,3,6,,28-25,2,2.5,Clemens,Escalona,,3:29,N,26881,1.17,-,
54,Thursday May 30,boxscore,COL,,HOU,L,5,7,,28-26,3,2.5,Harrell,Nicasio,Ambriz,3:21,N,26239,1.11,--,
55,Friday May 31,boxscore,COL,,LAD,L,5,7,10,28-27,3,2.5,League,Betancourt,Belisario,3:23,N,37923,1.21,---,
56,Saturday Jun 1,boxscore,COL,,LAD,W-wo,7,6,10,29-27,2,2.5,Belisle,Guerrier,,3:39,D,36703,1.14,+,
57,Sunday Jun 2,boxscore,COL,,LAD,W,7,2,,30-27,2,2.5,De La Rosa,Magill,,2:36,D,41536,1.19,++,
58,Monday Jun 3,boxscore,COL,@,CIN,L,0,3,,30-28,3,2.5,Arroyo,Chatwood,Chapman,2:54,N,18498,1.22,-,
59,Tuesday Jun 4,boxscore,COL,@,CIN,W,5,4,,31-28,3,2.5,Outman,LeCure,Brothers,3:19,N,27031,1.13,+,
60,Wednesday Jun 5,boxscore,COL,@,CIN,W,12,4,,32-28,2,2.5,Garland,Villarreal,,3:19,N,26665,1.21,++,
61,Thursday Jun 6,boxscore,COL,,SDP,L,5,6,12,32-29,2,2.5,Gregerson,Corpas,Boxberger,4:04,N,29840,1.26,-,
62,Friday Jun 7,boxscore,COL,,SDP,W-wo,10,9,,33-29,2,2.5,Belisle,Thatcher,,3:26,N,30477,1.27,+,
63,Saturday Jun 8,boxscore,COL,,SDP,L,2,4,,33-30,2,2.5,Stults,Francis,Gregerson,3:21,N,34590,1.36,-,
64,Sunday Jun 9,boxscore,COL,,SDP,W-wo,8,7,10,34-30,2,1.5,Brothers,Ross,,3:21,D,33668,1.22,+,
