Gm#,W/L,D/N,H/A,Opp,COL_at_bats,COL_ba,COL_hits,COL_hr,COL_kk,COL_obp,COL_walks,Opp_at_bats,Opp_ba,Opp_hits,OPP_HR_Column,OPP_kk,Opp_obp,Opp_walks
1,L,D,A,MIL,31,0.2580645161290322,8,1,8,0.3513513513513513,4,38,0.3157894736842105,12,3,11,0.3333333333333333,1
2,W,N,A,MIL,32,0.28125,9,1,5,0.3428571428571428,3,37,0.3783783783783784,14,2,11,0.3902439024390244,2
3,W,N,A,MIL,34,0.2647058823529412,9,1,5,0.3055555555555556,2,37,0.4054054054054054,15,3,8,0.4634146341463415,4
4,W,D,H,SDP,33,0.2121212121212121,7,0,8,0.2352941176470588,1,0,0.0,0,0,0,0.0,0
5,W,N,H,SDP,33,0.2424242424242424,8,0,4,0.3055555555555556,3,0,0.0,0,0,0,0.0,0
6,W,D,H,SDP,33,0.2727272727272727,9,0,3,0.2727272727272727,0,0,0.0,0,0,0,0.0,0
7,L,N,A,SFG,29,0.2758620689655172,8,1,4,0.3225806451612903,1,0,0.0,0,0,0,0.0,0
8,L,N,A,SFG,31,0.4516129032258064,14,1,5,0.5277777777777778,5,0,0.0,0,0,0,0.0,0
9,L,D,A,SFG,36,0.4444444444444444,16,0,7,0.4878048780487805,4,0,0.0,0,0,0,0.0,0
10,W,N,A,SDP,33,0.2727272727272727,9,1,8,0.2941176470588235,1,0,0.0,0,0,0,0.0,0
11,W,N,A,SDP,33,0.303030303030303,10,2,6,0.3513513513513513,3,0,0.0,0,0,0,0.0,0
12,W,D,A,SDP,27,0.074074074074074,2,0,11,0.1875,4,0,0.0,0,0,0,0.0,0
15,W,D,H,NYM,33,0.2424242424242424,8,0,5,0.2647058823529412,1,36,0.4722222222222222,17,3,4,0.5128205128205128,3
16,W,N,H,ARI,30,0.1666666666666666,5,0,8,0.1935483870967742,1,0,0.0,0,0,0,0.0,0
17,W,N,H,ARI,29,0.2068965517241379,6,1,7,0.28125,3,0,0.0,0,0,0,0.0,0
18,L,D,H,ARI,33,0.2424242424242424,8,1,5,0.3157894736842105,4,0,0.0,0,0,0,0.0,0
21,L,D,H,ATL,41,0.2439024390243902,10,0,10,0.3260869565217391,5,43,0.3488372093023256,15,2,8,0.3777777777777777,1
22,L,N,A,ARI,28,0.2857142857142857,8,1,3,0.3548387096774194,3,0,0.0,0,0,0,0.0,0
23,W,N,A,ARI,32,0.1875,6,1,6,0.2777777777777778,3,0,0.0,0,0,0,0.0,0
24,L,N,A,ARI,35,0.2571428571428571,9,1,7,0.2894736842105263,2,0,0.0,0,0,0,0.0,0
25,L,D,A,ARI,28,0.2857142857142857,8,0,4,0.3103448275862069,1,0,0.0,0,0,0,0.0,0
26,W,N,A,LAD,29,0.2068965517241379,6,1,10,0.2333333333333333,0,44,0.4318181818181818,19,3,6,0.5,6
27,L,N,A,LAD,33,0.3939393939393939,13,1,7,0.4166666666666667,2,31,0.1612903225806451,5,1,13,0.2352941176470588,3
28,W,N,A,LAD,33,0.2424242424242424,8,1,10,0.2647058823529412,1,35,0.3428571428571428,12,0,11,0.4418604651162791,6
29,L,N,H,TBR,38,0.2894736842105263,11,2,6,0.3571428571428571,3,0,0.0,0,0,0,0.0,0
30,W,N,H,TBR,34,0.2647058823529412,9,0,4,0.3421052631578947,3,0,0.0,0,0,0,0.0,0
31,L,D,H,TBR,33,0.3333333333333333,11,0,5,0.4054054054054054,4,0,0.0,0,0,0,0.0,0
32,W,N,H,NYY,28,0.1428571428571428,4,0,4,0.2,2,30,0.2666666666666666,8,1,4,0.2903225806451613,1
33,L,N,H,NYY,31,0.1935483870967742,6,1,10,0.2424242424242424,2,30,0.1333333333333333,4,1,5,0.1875,1
34,L,D,H,NYY,30,0.2,6,1,7,0.2424242424242424,2,28,0.1428571428571428,4,0,5,0.2647058823529412,4
35,L,N,A,STL,33,0.303030303030303,10,1,7,0.3513513513513513,3,28,0.0357142857142857,1,0,13,0.0357142857142857,0
36,L,D,A,STL,33,0.3939393939393939,13,0,10,0.4324324324324324,3,27,0.074074074074074,2,0,7,0.1071428571428571,1
37,W,D,A,STL,31,0.1935483870967742,6,0,9,0.2571428571428571,3,37,0.2972972972972973,11,2,11,0.35,3
38,L,N,A,CHC,36,0.3888888888888889,14,1,3,0.4358974358974359,2,28,0.1071428571428571,3,1,7,0.1935483870967742,3
39,W,N,A,CHC,33,0.2121212121212121,7,1,11,0.2571428571428571,2,37,0.4594594594594595,17,3,4,0.45,1
40,L,N,A,CHC,28,0.3214285714285714,9,2,7,0.3870967741935484,2,32,0.21875,7,1,8,0.2647058823529412,2
