,COL_at_bats
0,31
1,32
2,34
3,33
4,33
5,33
6,29
7,31
8,36
9,33
10,33
11,27
14,33
15,30
16,29
17,33
20,41
21,28
22,32
23,35
24,28
25,29
26,33
27,33
28,38
29,34
30,33
31,28
32,31
33,30
34,33
35,33
36,31
37,36
38,33
39,28
40,33
41,40
42,35
43,31
44,38
45,34
46,32
47,30
48,35
49,33
50,41
51,28
52,32
53,34
54,38
55,38
56,31
57,29
58,32
59,32
60,43
61,43
62,36
63,38
64,31
65,29
66,34
67,38
68,32
69,32
70,21
71,34
72,28
73,34
74,27
75,30
76,37
77,40
78,30
79,33
80,31
81,31
82,37
83,38
84,41
85,38
86,30
87,35
88,31
89,33
90,30
91,33
92,31
93,28
94,26
95,32
96,31
97,32
98,32
99,30
100,34
101,32
102,34
103,31
104,34
105,35
106,36
107,39
108,36
109,36
110,32
111,30
112,28
113,28
114,30
115,28
116,33
117,35
118,30
119,28
120,37
121,31
122,31
123,32
124,36
125,30
126,27
127,35
128,34
129,29
130,27
131,27
132,32
133,36
134,31
135,32
136,38
137,35
138,35
139,33
140,33
141,30
142,28
143,28
144,38
145,38
146,30
147,35
148,36
149,34
150,31
151,41
152,34
153,51
154,33
155,38
156,39
157,29
158,40
159,36
160,30
161,29
162,35
163,26
164,35
165,32
166,36
167,32
168,35
169,30
170,42
171,34
172,29
173,27
174,30
175,26
176,30
177,29
178,30
179,28
180,31
181,38
182,31
183,32
184,42
185,39
186,30
187,30
188,33
189,35
190,32
191,32
192,34
193,43
194,33
195,31
196,30
197,31
198,31
199,27
200,28
201,28
202,28
203,29
204,30
205,33
206,38
207,34
208,33
209,31
210,33
211,30
212,30
213,34
214,31
215,32
216,32
217,33
218,27
219,31
220,42
221,40
222,35
223,36
224,21
225,33
226,40
227,33
228,28
229,34
230,32
231,36
232,35
233,29
234,29
235,44
236,34
237,35
238,31
239,36
240,30
241,32
242,31
243,32
244,29
245,31
246,31
247,29
248,31
249,44
250,33
251,39
252,30
253,33
254,33
255,33
256,38
257,41
258,31
259,35
260,35
261,37
262,35
263,37
264,29
