,COL_hr
0,1
1,1
2,1
3,0
4,0
5,0
6,1
7,1
8,0
9,1
10,2
11,0
14,0
15,0
16,1
17,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,2
29,0
30,0
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,2
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,2
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,3
62,1
63,3
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,3
72,1
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,2
83,2
84,4
85,2
86,0
87,3
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,2
105,2
106,0
107,3
108,1
109,3
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,2
120,2
121,0
122,2
123,0
124,2
125,2
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,2
134,0
135,1
136,1
137,1
138,1
139,0
140,0
141,2
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,2
150,0
151,1
152,0
153,0
154,2
155,1
156,1
157,1
158,3
159,3
160,0
161,0
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,0
170,6
171,0
172,1
173,0
174,2
175,0
176,0
177,1
178,1
179,0
180,0
181,2
182,0
183,1
184,6
185,2
186,2
187,0
188,1
189,1
190,2
191,1
192,1
193,0
194,0
195,0
196,1
197,1
198,1
199,2
200,1
201,1
202,2
203,0
204,0
205,2
206,3
207,0
208,3
209,1
210,0
211,0
212,4
213,2
214,2
215,1
216,1
217,2
218,1
219,2
220,2
221,3
222,0
223,1
224,1
225,0
226,3
227,0
228,1
229,0
230,2
231,3
232,0
233,3
234,0
235,3
236,1
237,2
238,2
239,1
240,1
241,3
242,0
243,1
244,1
245,1
246,0
247,2
248,0
249,2
250,0
251,0
252,0
253,1
254,2
255,0
256,1
257,2
258,0
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,3
267,0
268,1
269,1
270,0
271,0
272,3
273,1
274,2
275,1
276,3
277,1
278,3
279,0
280,2
281,0
282,2
283,1
284,0
287,0
288,1
289,1
290,0
291,0
292,1
293,2
294,1
295,1
296,1
297,0
298,1
299,1
300,2
301,0
302,0
303,2
304,0
305,0
306,0
307,0
308,1
309,2
310,1
311,1
312,1
313,1
314,0
315,0
316,1
317,2
318,0
319,0
320,1
321,0
322,1
323,3
324,0
325,0
326,1
327,0
328,3
329,1
330,0
331,0
332,1
333,1
334,0
335,3
336,1
337,1
338,2
339,0
340,1
341,2
342,0
343,2
344,1
345,0
346,0
347,3
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,1
361,1
362,2
365,0
366,2
367,0
368,2
369,0
370,1
371,0
372,4
375,1
376,1
377,0
378,1
379,2
380,2
381,1
382,2
383,2
384,1
385,0
386,3
387,3
388,4
389,2
390,2
391,1
392,0
393,3
394,1
395,0
396,1
397,1
398,3
399,3
400,0
401,0
402,1
403,0
404,0
405,1
406,4
407,2
408,0
409,1
410,2
411,0
412,3
413,2
414,0
415,2
416,1
417,1
418,1
419,1
420,1
421,1
422,2
423,2
424,2
425,1
426,1
427,3
428,1
429,1
430,0
431,0
432,3
433,1
434,0
435,1
436,3
437,3
438,0
439,0
440,1
441,0
442,1
443,5
444,1
445,0
446,2
447,0
448,2
449,0
450,1
451,0
452,1
455,0
456,1
457,0
458,2
459,1
460,1
461,1
462,2
463,1
464,1
465,4
466,0
467,1
468,0
469,1
470,1
471,1
472,4
473,2
474,0
475,1
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,3
485,0
486,1
487,2
488,1
489,2
490,4
491,0
492,3
493,1
494,1
495,0
496,3
497,0
498,0
499,0
500,2
501,2
502,1
503,1
504,1
505,5
506,1
507,0
508,1
509,1
510,0
511,2
512,0
513,0
514,1
515,0
516,0
517,2
518,1
519,0
520,0
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,2
534,1
535,5
536,2
537,1
538,4
539,1
540,2
541,2
542,0
543,2
544,0
545,1
546,2
547,0
548,0
549,1
550,0
551,1
552,2
553,1
554,3
555,0
556,3
557,2
558,2
559,1
560,0
561,3
562,1
563,1
564,0
565,0
566,2
567,2
568,0
569,1
570,1
571,1
572,1
573,2
574,0
575,1
576,0
577,0
578,2
579,0
580,0
581,1
582,0
583,0
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,1
598,0
599,1
600,3
601,1
602,1
603,1
604,2
605,0
606,3
607,2
608,2
609,2
610,1
611,0
612,2
613,2
614,0
615,3
616,0
619,1
620,1
621,1
622,0
623,1
624,2
625,2
626,1
627,0
628,0
629,3
630,3
631,4
632,2
633,0
634,1
635,1
636,2
637,0
638,2
639,2
640,1
641,2
642,3
643,0
644,0
645,1
646,1
647,2
648,0
649,1
650,3
651,1
652,0
653,1
654,1
655,2
656,1
657,1
658,0
659,2
660,0
661,0
662,0
663,1
664,1
665,1
666,0
667,1
668,1
669,3
670,3
671,0
672,3
673,1
674,2
675,1
676,0
677,2
678,0
679,0
682,0
683,1
684,1
685,1
686,2
687,1
690,2
691,3
692,2
693,0
694,1
695,1
696,1
697,0
698,1
699,4
700,0
701,2
702,0
703,1
704,3
705,1
706,1
707,2
708,1
709,1
710,0
711,0
712,4
713,1
714,3
715,0
716,3
717,3
718,0
719,2
720,2
721,1
722,2
723,1
724,1
725,3
726,0
727,0
728,2
729,2
730,0
731,1
732,2
733,3
734,0
735,1
736,1
737,1
738,0
739,2
740,3
741,2
742,2
743,2
744,1
745,1
746,1
747,1
748,3
749,1
750,1
751,0
754,1
755,2
756,1
757,0
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,0
766,1
767,0
768,4
769,3
770,2
771,2
772,0
773,1
774,2
775,2
776,1
777,0
778,0
779,1
780,2
781,1
782,1
783,3
784,2
785,0
786,2
787,0
788,1
789,2
790,1
791,0
792,1
793,1
794,1
795,1
796,0
797,1
798,1
799,1
800,1
801,0
802,0
803,3
804,0
805,0
806,1
807,0
808,1
809,0
810,0
811,1
812,0
813,2
814,3
815,0
816,1
817,1
818,0
819,3
820,2
821,2
822,2
823,1
824,0
825,1
826,2
827,0
828,0
829,1
830,2
831,0
832,1
833,2
