,COL_kk
0,8
1,5
2,5
3,8
4,4
5,3
6,4
7,5
8,7
9,8
10,6
11,11
14,5
15,8
16,7
17,5
20,10
21,3
22,6
23,7
24,4
25,10
26,7
27,10
28,6
29,4
30,5
31,4
32,10
33,7
34,7
35,10
36,9
37,3
38,11
39,7
40,2
41,6
42,5
43,9
44,2
45,6
46,6
47,5
48,3
49,4
50,14
51,6
52,12
53,7
54,5
55,7
56,9
57,9
58,5
59,5
60,10
61,10
62,7
63,10
64,3
65,8
66,9
67,5
68,4
69,4
70,4
71,4
72,5
73,14
74,4
75,4
76,7
77,6
78,6
79,6
80,6
81,5
82,10
83,9
84,2
85,7
86,6
87,3
88,4
89,6
90,6
91,8
92,7
93,4
94,4
95,7
96,8
97,7
98,5
99,5
100,5
101,9
102,11
103,13
104,4
105,7
106,11
107,8
108,7
109,3
110,4
111,8
112,6
113,5
114,5
115,7
116,6
117,6
118,6
119,6
120,3
121,7
122,7
123,6
124,6
125,7
126,5
127,5
128,7
129,9
130,7
131,9
132,12
133,2
134,11
135,4
136,8
137,5
138,9
139,6
140,7
141,7
142,3
143,8
144,7
145,7
146,3
147,5
148,7
149,8
150,7
151,7
152,5
153,11
154,2
155,5
156,5
157,6
158,9
159,5
160,11
161,13
162,11
163,4
164,11
165,7
166,7
167,8
168,1
169,5
170,6
171,7
172,11
173,8
174,9
175,3
176,4
177,6
178,7
179,7
180,3
181,7
182,11
183,8
184,9
185,7
186,7
187,6
188,5
189,10
190,6
191,2
192,6
193,12
194,5
195,5
196,2
197,6
198,6
199,2
200,9
201,5
202,0
203,1
204,7
205,10
206,3
207,6
208,8
209,9
210,10
211,8
212,6
213,7
214,7
215,7
216,4
217,6
218,6
219,1
220,8
221,7
222,3
223,5
224,9
225,9
226,5
227,9
228,5
229,11
230,8
231,6
232,4
233,9
234,3
235,7
236,4
237,4
238,6
239,5
240,4
241,9
242,6
243,7
244,6
245,5
246,6
247,8
248,7
249,7
250,7
251,4
252,7
253,9
254,11
255,6
256,4
257,9
258,5
259,10
260,9
261,7
262,2
263,14
264,4
265,3
266,7
267,8
268,14
269,13
270,4
271,4
272,6
273,7
274,11
275,7
276,4
277,5
278,5
279,9
280,5
281,3
282,9
283,6
284,2
287,9
288,3
289,10
290,16
291,3
292,10
293,9
294,10
295,6
296,9
297,7
298,6
299,4
300,9
301,1
302,6
303,11
304,10
305,6
306,3
307,7
308,6
309,4
310,6
311,9
312,10
313,7
314,3
315,5
316,5
317,5
318,10
319,7
320,8
321,6
322,6
323,7
324,9
325,7
326,8
327,7
328,8
329,8
330,6
331,8
332,7
333,9
334,8
335,6
336,10
337,5
338,4
339,7
340,5
341,10
342,6
343,1
344,5
345,4
346,11
347,4
350,3
351,9
352,7
353,8
354,5
355,6
356,7
357,2
358,4
359,6
360,4
361,8
362,6
365,8
366,2
367,5
368,2
369,8
370,5
371,8
372,6
375,7
376,6
377,8
378,4
379,8
380,11
381,9
382,5
383,4
384,6
385,8
386,9
387,10
388,5
389,17
390,6
391,7
392,5
393,5
394,6
395,7
396,7
397,5
398,6
399,3
400,6
401,5
402,7
403,10
404,5
405,11
406,6
407,5
408,9
409,5
410,8
411,10
412,11
413,7
414,6
415,5
416,12
417,7
418,9
419,5
420,5
421,7
422,6
423,6
424,7
425,6
426,7
427,7
428,6
429,9
430,6
431,4
432,8
433,6
434,5
435,8
436,7
437,7
438,8
439,4
440,6
441,11
442,8
443,3
444,6
445,11
446,4
447,8
448,10
449,8
450,3
451,10
452,6
455,4
456,5
457,7
458,3
459,4
460,12
461,8
462,2
463,14
464,11
465,8
466,8
467,12
468,9
469,5
470,10
471,10
472,6
473,8
474,5
475,11
476,10
477,6
478,5
479,6
480,11
481,7
482,5
483,9
484,8
485,3
486,13
487,8
488,6
489,7
490,8
491,7
492,4
493,5
494,7
495,7
496,10
497,9
498,7
499,5
500,8
501,14
502,8
503,6
504,5
505,12
506,11
507,7
508,6
509,8
510,12
511,5
512,7
513,7
514,4
515,8
516,9
517,5
518,6
519,11
520,12
521,7
522,5
523,7
524,6
525,8
526,5
527,5
528,7
529,3
530,6
531,7
532,4
533,5
534,6
535,7
536,5
537,11
538,7
539,4
540,5
541,12
542,6
543,5
544,6
545,12
546,12
547,4
548,8
549,5
550,7
551,7
552,6
553,7
554,7
555,11
556,7
557,8
558,9
559,7
560,9
561,8
562,4
563,9
564,4
565,7
566,6
567,3
568,9
569,7
570,9
571,10
572,7
573,8
574,5
575,9
576,9
577,8
578,3
579,8
580,7
581,9
582,7
583,7
584,4
585,6
586,6
587,8
588,4
589,4
590,10
591,9
592,6
593,11
594,6
595,5
596,9
597,7
598,12
599,3
600,9
601,11
602,6
603,8
604,8
605,5
606,8
607,12
608,8
609,6
610,4
611,12
612,12
613,5
614,16
615,8
616,10
619,5
620,5
621,7
622,7
623,4
624,7
625,8
626,9
627,5
628,9
629,10
630,10
631,7
632,8
633,16
634,10
635,8
636,11
637,11
638,6
639,14
640,7
641,7
642,3
643,11
644,3
645,8
646,14
647,12
648,14
649,14
650,7
651,10
652,11
653,7
654,8
655,10
656,10
657,6
658,5
659,6
660,4
661,6
662,7
663,7
664,4
665,6
666,3
667,7
668,5
669,9
670,4
671,6
672,4
673,13
674,9
675,6
676,8
677,6
678,13
679,7
682,10
683,11
684,9
685,12
686,10
687,6
690,11
691,7
692,9
693,11
694,8
695,12
696,12
697,3
698,7
699,9
700,8
701,6
702,9
703,6
704,14
705,8
706,10
707,6
708,6
709,5
710,12
711,11
712,9
713,4
714,8
