,OPP_kk
0,11
1,11
2,8
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
14,4
15,0
16,0
17,0
20,8
21,0
22,0
23,0
24,0
25,6
26,13
27,11
28,0
29,0
30,0
31,4
32,5
33,5
34,13
35,7
36,11
37,7
38,4
39,8
40,0
41,error
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,9
51,6
52,6
53,6
54,6
55,9
56,6
57,6
58,9
59,9
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,5
69,7
70,11
71,9
72,11
73,0
74,0
75,0
76,0
77,6
78,15
79,8
80,0
81,0
82,0
83,8
84,7
85,7
86,0
87,0
88,0
89,0
90,0
91,0
92,11
93,13
94,9
95,7
96,7
97,6
98,6
99,9
100,11
101,6
102,6
103,5
104,7
105,2
106,10
107,8
108,8
109,14
110,6
111,6
112,9
113,10
114,6
115,3
116,4
117,9
118,3
119,0
120,0
121,0
122,10
123,9
124,4
125,11
126,6
127,9
128,6
129,9
130,10
131,7
132,0
133,0
134,0
135,5
136,8
137,5
138,5
139,6
140,10
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,7
151,6
152,9
153,17
154,0
155,0
156,0
157,6
158,7
159,11
160,9
161,10
162,10
163,8
164,6
165,5
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,3
180,5
181,9
182,0
183,0
184,0
185,7
186,7
187,5
188,0
189,0
190,0
191,9
192,4
193,6
194,8
195,7
196,1
197,3
198,8
199,8
200,8
201,10
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,11
211,6
212,9
213,5
214,5
215,7
216,15
217,11
218,12
219,0
220,0
221,0
222,9
223,7
224,9
225,7
226,7
227,6
228,9
229,0
230,0
231,0
232,9
233,7
234,15
235,11
236,3
237,4
238,8
239,5
240,8
241,10
242,6
243,9
244,6
245,0
246,0
247,0
248,9
249,9
250,9
251,4
252,0
253,0
254,0
255,6
256,3
257,11
258,12
259,6
260,6
261,0
262,0
263,0
264,6
265,7
266,6
267,8
268,18
269,15
270,9
271,6
272,12
273,14
274,7
275,4
276,5
277,0
278,0
279,0
280,0
281,0
282,0
283,7
284,6
287,0
288,0
289,9
290,6
291,5
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,9
306,11
307,10
308,10
309,7
310,16
311,4
312,6
313,4
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,6
322,12
323,14
324,6
325,6
326,7
327,7
328,10
329,8
330,0
331,0
332,0
333,16
334,5
335,9
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
350,1
351,9
352,8
353,14
354,14
355,18
356,11
357,11
358,11
359,10
360,4
361,0
362,0
365,0
366,10
367,7
368,7
369,9
370,10
371,9
372,10
375,6
376,7
377,5
378,9
379,8
380,13
381,10
382,8
383,5
384,15
385,9
386,5
387,13
388,7
389,11
390,6
391,8
392,5
393,0
394,0
395,0
396,0
397,0
398,0
399,6
400,10
401,10
402,0
403,0
404,0
405,0
406,8
407,5
408,7
409,9
410,11
411,9
412,0
413,0
414,5
415,4
416,6
417,7
418,6
419,6
420,6
421,11
422,16
423,8
424,9
425,7
426,7
427,12
428,10
429,7
430,0
431,0
432,0
433,7
434,4
435,12
436,6
437,0
438,0
439,0
440,0
441,0
442,0
443,7
444,7
445,10
446,6
447,6
448,8
449,6
450,3
451,11
452,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,9
465,14
466,10
467,8
468,18
469,7
470,0
471,0
472,0
473,7
474,13
475,6
476,9
477,9
478,6
479,5
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,8
496,9
497,14
498,12
499,5
500,9
501,5
502,11
503,9
504,9
505,4
506,11
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,7
521,4
522,5
523,9
524,9
525,10
526,1
527,7
528,7
529,11
530,10
531,6
532,0
533,0
534,0
535,8
536,5
537,3
538,7
539,0
540,0
541,0
542,10
543,15
544,10
545,4
546,0
547,0
548,0
549,7
550,8
551,7
552,8
553,10
554,9
555,13
556,11
557,0
558,0
559,0
560,0
561,10
562,8
563,6
564,12
565,14
566,15
567,0
568,0
569,0
570,7
571,8
572,6
573,5
574,10
575,6
576,5
577,0
578,0
579,0
580,7
581,8
582,5
583,6
584,11
585,7
586,11
587,9
588,9
589,10
590,12
591,6
592,5
593,8
594,7
595,12
596,6
597,9
598,8
599,6
600,10
601,11
602,9
603,6
604,0
605,0
606,0
607,7
608,9
609,10
610,6
611,9
612,10
613,0
614,0
615,0
616,9
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,8
636,5
637,7
638,7
639,11
640,8
641,10
642,0
643,0
644,0
645,5
646,7
647,11
648,8
649,4
650,9
651,7
652,11
653,7
654,11
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,12
663,12
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
682,10
683,9
684,7
685,14
686,6
687,7
690,8
691,7
692,7
693,7
694,8
695,5
696,10
697,10
698,10
699,5
700,6
701,2
702,6
703,11
704,0
705,0
706,0
707,9
708,7
709,9
710,14
711,8
712,7
713,10
714,6
715,8
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,11
724,10
725,8
726,0
727,0
728,0
729,0
730,0
731,0
732,10
733,8
734,11
735,11
736,0
737,0
738,0
739,13
740,11
741,10
742,0
743,0
744,0
745,7
746,5
747,8
748,11
749,8
750,11
751,0
754,6
755,9
756,8
757,3
758,11
759,9
760,11
761,14
762,7
763,7
764,5
765,8
766,11
767,11
768,3
769,5
770,8
771,8
772,0
773,0
774,0
775,6
776,11
777,9
778,8
779,6
780,12
781,0
782,0
783,0
784,0
785,0
786,0
787,12
788,14
789,8
790,10
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,7
805,5
806,5
807,7
808,10
809,7
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,8
818,11
819,10
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,3
828,7
829,9
830,8
831,8
832,11
833,0
834,0
835,0
836,8
837,8
838,14
839,9
840,7
841,11
842,6
843,9
844,9
845,7
846,14
847,11
848,8
849,5
850,15
851,0
852,0
853,0
854,0
855,0
856,0
857,7
858,7
859,15
860,6
861,6
862,8
863,0
864,0
865,0
866,6
867,5
868,12
869,8
870,9
871,11
872,0
873,0
874,0
875,13
876,10
877,9
878,6
879,9
880,9
881,8
882,6
883,9
884,9
885,8
886,10
887,9
888,0
889,0
890,0
891,12
892,12
893,10
894,0
895,0
896,0
897,4
898,11
899,9
900,0
901,0
902,0
903,5
904,7
905,6
906,0
907,0
908,0
909,13
910,9
911,9
912,2
913,9
914,12
915,11
916,10
917,9
918,7
919,10
920,13
921,3
922,3
923,7
924,4
925,13
926,8
927,7
928,15
929,17
930,10
931,10
932,9
933,12
934,0
935,0
936,0
937,7
938,7
939,6
940,7
941,6
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,11
950,8
951,10
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,6
960,9
961,16
962,0
963,0
964,0
965,7
966,8
967,8
968,4
969,0
970,0
971,0
972,6
973,7
974,5
975,14
976,7
977,0
978,0
979,0
980,7
981,6
982,8
983,6
984,10
985,0
986,0
987,0
988,0
989,0
990,0
991,4
992,16
993,13
994,11
995,0
996,0
997,0
998,10
999,7
1000,9
1001,7
1002,9
1003,11
1004,6
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,24
1014,16
1015,4
1016,13
1017,9
1018,5
1019,10
1020,10
1021,8
1022,9
1023,9
1024,0
1025,0
1026,0
1027,0
1028,7
1029,5
1030,3
1031,10
1032,9
1033,7
1034,15
1035,15
1036,9
1037,4
1038,4
1039,12
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,16
1048,11
1049,10
1050,0
1051,0
1052,0
1053,7
1054,8
1055,8
1056,9
1057,10
1058,8
1059,0
1060,0
1061,0
1062,11
1063,6
1064,8
1067,0
1068,0
1069,17
1070,5
1071,13
1072,0
1075,0
1076,10
1077,8
1078,9
1079,10
1080,8
1081,3
1082,0
1083,0
1084,0
1085,4
1086,12
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,3
1095,3
1096,15
1097,0
1098,0
1099,0
1100,6
1101,12
1102,8
1103,14
1104,6
1105,9
1106,11
1107,10
1108,9
1109,10
1110,9
1111,10
1112,10
1113,10
1114,0
1115,0
1116,0
1117,5
1118,9
1119,13
1120,0
1121,0
1122,0
1123,5
1124,8
1125,11
1126,9
1127,8
1128,10
1129,0
1130,0
1131,0
1132,4
1133,12
1134,15
1135,14
1136,9
1137,8
1138,11
1139,8
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,8
1148,6
1149,13
1150,0
1151,0
1152,0
1153,6
1154,4
1155,7
1156,7
1157,13
1158,8
1159,9
1160,14
1161,4
1162,7
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,7
1173,14
1174,11
1175,0
1176,0
1177,0
1178,10
1179,8
1180,12
1181,10
1182,9
1183,4
1184,5
1185,9
1186,11
1187,0
1188,0
1189,0
1190,0
1193,0
1194,0
1195,4
1196,13
1197,6
1198,10
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,12
1206,12
1207,8
1210,5
1211,9
1212,5
1213,11
1214,6
1215,8
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1225,0
1226,8
1227,7
1228,5
1229,0
1232,4
1233,14
1234,10
1235,10
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,5
1243,16
1248,12
1249,12
1250,6
1251,6
1252,3
1253,8
1254,8
1255,8
1256,12
1257,9
1258,11
1259,5
1260,13
1261,0
1262,0
1263,0
1264,7
1265,10
1266,7
1267,9
1268,8
1269,9
1270,15
1271,10
1272,10
1273,6
1274,7
1275,9
1276,5
1277,6
1278,4
1279,6
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,5
1287,10
1288,9
1289,8
1290,4
1291,6
1292,10
1293,11
1294,9
1295,10
1296,11
1297,0
1298,0
1299,0
1300,0
1301,7
1302,5
1303,5
1304,7
1305,2
1306,4
1307,7
1308,12
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,8
1322,9
1323,5
1324,9
1325,5
1326,10
1327,6
1328,5
1329,10
1330,6
1331,4
1332,0
1333,0
1334,0
1335,9
1336,11
1337,9
1338,12
1339,10
1340,14
1341,0
1342,0
1343,0
1344,11
1345,7
1346,11
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,12
1357,10
1358,3
1359,11
1360,7
1361,7
1362,9
1363,6
1364,9
1365,5
1366,6
1367,9
1370,5
1371,5
1372,6
1373,7
1374,10
1375,11
1376,4
1377,8
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1395,9
1396,5
1397,9
1398,8
1399,0
1402,0
1403,8
1406,12
1407,8
1408,11
1409,12
1410,0
1411,0
1412,0
1413,0
1416,0
1417,10
1418,5
1419,7
1420,0
1421,0
1422,0
1423,11
1424,8
1425,12
1426,3
1427,10
1428,6
1429,4
1430,8
1431,8
1432,0
1433,0
1434,0
1435,9
1436,12
1437,7
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,5
1447,8
1448,6
1449,15
1450,10
1451,10
1452,11
1453,0
1454,0
1455,4
1456,7
1457,6
1458,12
1459,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,5
1468,10
1469,9
1470,0
1471,0
1472,0
1473,7
1474,11
1475,7
1476,0
1477,0
1478,0
1479,6
1480,11
1481,14
1482,3
1483,11
1484,11
1485,5
1486,9
1487,16
1488,10
1491,6
1492,8
1493,9
1494,0
1495,0
1496,0
1497,0
1498,0
1499,7
1500,12
1501,14
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,6
1513,7
1514,13
1515,11
1516,11
1517,17
1518,0
1519,0
1520,0
1521,0
1522,12
1523,6
1524,0
1525,0
1526,0
1527,0
1528,7
1529,10
1530,11
1531,8
1532,7
1533,13
1534,9
1535,10
1536,8
1537,14
1538,3
1539,11
1540,15
1541,7
1542,8
1543,12
1544,0
1545,0
1546,0
1547,12
1548,8
1549,4
1550,7
1551,10
1552,7
1553,8
1554,4
1555,11
1556,8
1557,10
1558,5
1559,11
1560,11
1561,4
1562,7
1563,8
1564,9
1565,9
1566,6
1567,8
1568,7
1569,10
1570,4
1571,9
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,11
1586,10
1587,8
1588,12
1589,10
1590,9
1591,15
1592,12
1593,11
1594,15
1595,7
1596,12
1597,13
1598,4
1599,7
1600,9
1601,8
1602,9
1603,9
1604,7
1605,9
1606,0
1607,0
1608,0
1609,10
1610,9
1611,15
1612,10
1613,8
1614,14
1615,13
1616,16
1617,0
1618,0
1619,0
1620,6
1621,9
1622,9
1623,0
1624,0
1625,0
1626,8
1627,10
1628,13
1629,16
1630,7
1631,10
1632,9
1633,16
1634,11
1635,13
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,9
1646,10
1647,6
1648,11
1649,12
1650,9
1651,7
1652,10
1653,11
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,9
1661,8
1662,8
1663,0
1666,0
1667,0
1668,0
1669,0
1670,9
1671,12
1672,6
1675,13
1676,5
1677,11
1678,11
1679,17
1680,0
1681,0
1682,0
1683,0
1684,9
1685,6
1686,12
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,9
1694,15
1695,10
1696,10
1697,8
1698,12
1699,11
1702,0
1703,0
1704,0
1705,0
1706,14
1707,11
1708,13
1709,8
1710,16
1711,9
1712,11
1713,6
1714,0
1715,0
1716,0
1717,10
1718,13
1719,4
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,6
1727,11
1728,12
1729,6
1730,11
1731,10
1732,9
1733,14
1734,3
1735,8
1736,10
1737,11
1738,8
1739,12
1740,6
1741,9
1742,14
1743,9
1744,8
1745,10
1746,6
1747,8
1748,9
1749,8
1750,7
1751,9
1752,8
1753,4
1754,13
1755,0
1756,0
1757,0
1758,11
1759,14
1760,0
1761,0
1762,0
1763,4
1764,9
1765,6
1766,7
1767,0
1768,0
1769,0
1770,9
1771,11
1772,8
1773,13
1774,11
1775,13
1776,13
1777,0
1778,0
1779,0
1780,7
1781,7
1782,10
1783,0
1786,0
1787,7
1788,11
1789,13
1790,0
1791,0
1792,0
1793,6
1794,10
1795,10
1796,12
1797,14
1798,10
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,9
1809,14
1810,8
1811,11
1812,8
1813,10
1814,10
1815,6
1816,9
1817,11
1818,-1
1819,-1
1820,-1
1821,-1
1822,-1
1823,-1
1824,-1
1825,-1
1826,-1
1827,-1
1828,-1
1829,-1
1830,-1
1831,-1
1832,-1
1833,-1
1834,-1
1835,-1
1836,-1
1837,-1
1838,-1
1839,-1
1840,-1
1841,-1
