,Opp_at_bats
0,UNKNOWN
1,UNKNOWN
2,UNKNOWN
3,UNKNOWN
4,UNKNOWN
5,UNKNOWN
6,UNKNOWN
7,UNKNOWN
8,UNKNOWN
9,UNKNOWN
10,UNKNOWN
11,UNKNOWN
14,UNKNOWN
15,UNKNOWN
16,UNKNOWN
17,UNKNOWN
20,UNKNOWN
21,UNKNOWN
22,UNKNOWN
23,UNKNOWN
24,UNKNOWN
25,UNKNOWN
26,UNKNOWN
27,UNKNOWN
28,UNKNOWN
29,UNKNOWN
30,UNKNOWN
31,UNKNOWN
32,UNKNOWN
33,UNKNOWN
34,UNKNOWN
35,UNKNOWN
36,UNKNOWN
37,UNKNOWN
38,UNKNOWN
39,UNKNOWN
40,UNKNOWN
41,UNKNOWN
42,UNKNOWN
43,UNKNOWN
44,UNKNOWN
45,UNKNOWN
46,UNKNOWN
47,UNKNOWN
48,UNKNOWN
49,UNKNOWN
50,UNKNOWN
51,UNKNOWN
52,UNKNOWN
53,UNKNOWN
54,UNKNOWN
55,UNKNOWN
56,UNKNOWN
57,UNKNOWN
58,UNKNOWN
59,UNKNOWN
60,UNKNOWN
61,UNKNOWN
62,UNKNOWN
63,UNKNOWN
64,UNKNOWN
65,UNKNOWN
66,UNKNOWN
67,UNKNOWN
68,UNKNOWN
69,UNKNOWN
70,UNKNOWN
71,UNKNOWN
72,UNKNOWN
73,UNKNOWN
74,UNKNOWN
75,UNKNOWN
76,UNKNOWN
77,UNKNOWN
78,UNKNOWN
79,UNKNOWN
80,UNKNOWN
81,UNKNOWN
82,UNKNOWN
83,UNKNOWN
84,UNKNOWN
85,UNKNOWN
86,UNKNOWN
87,UNKNOWN
88,UNKNOWN
89,UNKNOWN
90,UNKNOWN
91,UNKNOWN
92,UNKNOWN
93,UNKNOWN
94,UNKNOWN
95,UNKNOWN
96,UNKNOWN
97,UNKNOWN
98,UNKNOWN
99,UNKNOWN
100,UNKNOWN
101,UNKNOWN
102,UNKNOWN
103,UNKNOWN
104,UNKNOWN
105,UNKNOWN
106,UNKNOWN
107,UNKNOWN
108,UNKNOWN
109,UNKNOWN
110,UNKNOWN
111,UNKNOWN
112,UNKNOWN
113,UNKNOWN
114,UNKNOWN
115,UNKNOWN
116,UNKNOWN
117,UNKNOWN
118,UNKNOWN
119,UNKNOWN
120,UNKNOWN
121,UNKNOWN
122,UNKNOWN
123,UNKNOWN
124,UNKNOWN
125,UNKNOWN
126,UNKNOWN
127,UNKNOWN
128,UNKNOWN
129,UNKNOWN
130,UNKNOWN
131,UNKNOWN
132,UNKNOWN
133,UNKNOWN
134,UNKNOWN
135,UNKNOWN
136,UNKNOWN
137,UNKNOWN
138,UNKNOWN
139,UNKNOWN
140,UNKNOWN
141,UNKNOWN
142,UNKNOWN
