,Opp_ba
0,0.3157894736842105
1,0.3783783783783784
2,0.40540540540540543
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
14,0.4722222222222222
15,0.0
16,0.0
17,0.0
20,0.3488372093023256
21,0.0
22,0.0
23,0.0
24,0.0
25,0.4318181818181818
26,0.16129032258064516
27,0.34285714285714286
28,0.0
29,0.0
30,0.0
31,0.26666666666666666
32,0.13333333333333333
33,0.14285714285714285
34,0.03571428571428571
35,0.07407407407407407
36,0.2972972972972973
37,0.10714285714285714
38,0.4594594594594595
39,0.21875
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.3023255813953488
51,0.26666666666666666
52,0.2647058823529412
53,0.3548387096774194
54,0.2777777777777778
55,0.35
56,0.24
57,0.13333333333333333
58,0.24242424242424243
59,0.43478260869565216
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.3611111111111111
68,0.47368421052631576
69,0.3
70,0.16666666666666666
71,0.13333333333333333
72,0.25
73,0.0
74,0.0
75,0.0
76,0.0
77,0.3157894736842105
78,0.25
79,0.26666666666666666
80,0.0
81,0.0
82,0.0
83,0.14285714285714285
84,0.3225806451612903
85,0.41379310344827586
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.21212121212121213
93,0.21875
94,0.07142857142857142
95,0.36666666666666664
96,0.17857142857142858
97,0.38235294117647056
98,0.1724137931034483
99,0.2571428571428571
100,0.1724137931034483
101,0.25925925925925924
102,0.2413793103448276
103,0.32142857142857145
104,0.24242424242424243
105,0.34285714285714286
106,0.375
107,0.23333333333333334
108,0.1724137931034483
109,0.2903225806451613
110,0.2647058823529412
111,0.2
112,0.27586206896551724
113,0.22580645161290322
114,0.13793103448275862
115,0.25806451612903225
116,0.4444444444444444
117,0.3125
118,0.23076923076923078
119,0.0
120,0.0
121,0.0
122,0.24242424242424243
123,0.32432432432432434
124,0.24242424242424243
125,0.21212121212121213
126,0.2857142857142857
127,0.3235294117647059
128,0.2647058823529412
129,0.2647058823529412
130,0.13333333333333333
131,0.22580645161290322
132,0.0
133,0.0
134,0.0
135,0.48717948717948717
136,0.21875
137,0.36363636363636365
138,0.45
139,0.25806451612903225
140,0.36666666666666664
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.36363636363636365
151,0.2571428571428571
152,0.32432432432432434
153,0.3442622950819672
154,0.0
155,0.0
156,0.0
157,0.3142857142857143
158,0.3125
159,0.16129032258064516
160,0.16129032258064516
161,0.34375
162,0.1875
163,0.2647058823529412
164,0.3870967741935484
165,0.29411764705882354
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.43902439024390244
180,0.20689655172413793
181,0.4166666666666667
182,0.0
183,0.0
184,0.0
185,0.2
186,0.2413793103448276
187,0.3055555555555556
188,0.0
189,0.0
190,0.0
191,0.34375
192,0.4
193,0.40625
194,0.24242424242424243
195,0.38235294117647056
196,0.5121951219512195
197,0.4
198,0.17857142857142858
199,0.18181818181818182
200,0.38095238095238093
201,0.13333333333333333
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.23529411764705882
211,0.2
212,0.13333333333333333
213,0.23333333333333334
214,0.1935483870967742
215,0.2647058823529412
216,0.16129032258064516
217,0.23529411764705882
218,0.22580645161290322
219,0.0
220,0.0
221,0.0
222,0.2571428571428571
223,0.3902439024390244
224,0.16666666666666666
225,0.13333333333333333
226,0.38235294117647056
227,0.38235294117647056
228,0.3870967741935484
229,0.0
230,0.0
231,0.0
232,0.12903225806451613
233,0.3333333333333333
234,0.0
235,0.38095238095238093
236,0.2727272727272727
237,0.375
238,0.1
239,0.4594594594594595
240,0.2571428571428571
241,0.29411764705882354
242,0.2903225806451613
243,0.30303030303030304
244,0.375
245,0.0
246,0.0
247,0.0
248,0.28125
249,0.07692307692307693
250,0.36363636363636365
251,0.1935483870967742
252,0.0
253,0.0
254,0.0
255,0.34375
256,0.35135135135135137
257,0.3611111111111111
258,0.25
259,0.22580645161290322
260,0.27586206896551724
261,0.0
262,0.0
263,0.0
264,0.29411764705882354
265,0.4117647058823529
266,0.30303030303030304
267,0.2
268,0.16666666666666666
269,0.3
270,0.16129032258064516
271,0.2571428571428571
272,0.24242424242424243
273,0.12903225806451613
274,0.3333333333333333
275,0.47058823529411764
276,0.1935483870967742
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.3225806451612903
284,0.20689655172413793
287,0.0
288,0.0
289,0.34210526315789475
290,0.32558139534883723
291,0.45161290322580644
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.2647058823529412
306,0.16129032258064516
307,0.13793103448275862
308,0.22857142857142856
309,0.2647058823529412
310,0.15625
311,0.3333333333333333
312,0.2903225806451613
313,0.5
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.2727272727272727
322,0.2553191489361702
323,0.2647058823529412
324,0.4444444444444444
325,0.32432432432432434
326,0.2631578947368421
327,0.3548387096774194
328,0.3333333333333333
329,0.2972972972972973
330,0.0
331,0.0
332,0.0
333,0.21212121212121213
334,0.16666666666666666
335,0.13793103448275862
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
350,0.3333333333333333
351,0.2727272727272727
352,0.17857142857142858
353,0.24390243902439024
354,0.25
355,0.22857142857142856
356,0.24324324324324326
357,0.10344827586206896
358,0.2777777777777778
359,0.23333333333333334
360,0.2413793103448276
361,0.3548387096774194
362,0.0
365,0.0
366,0.3235294117647059
367,0.14285714285714285
368,0.2857142857142857
369,0.23333333333333334
370,0.2857142857142857
371,0.2647058823529412
372,0.2647058823529412
375,0.3125
376,0.3333333333333333
377,0.425
378,0.16666666666666666
379,0.42105263157894735
380,0.3225806451612903
381,0.25806451612903225
382,0.15625
383,0.23333333333333334
384,0.16129032258064516
385,0.16666666666666666
386,0.1724137931034483
387,0.2727272727272727
388,0.2727272727272727
389,0.21212121212121213
390,0.3055555555555556
391,0.25
392,0.46875
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.22580645161290322
400,0.21212121212121213
401,0.1724137931034483
402,0.0
403,0.0
404,0.0
405,0.0
406,0.2571428571428571
407,0.3939393939393939
408,0.4444444444444444
409,0.375
410,0.3125
411,0.4473684210526316
412,0.0
413,0.0
414,0.30303030303030304
415,0.25806451612903225
416,0.2571428571428571
417,0.3333333333333333
418,0.1935483870967742
419,0.4166666666666667
420,0.34210526315789475
421,0.2777777777777778
422,0.1724137931034483
423,0.43243243243243246
424,0.1935483870967742
425,0.3235294117647059
426,0.16129032258064516
427,0.4186046511627907
428,0.2571428571428571
429,0.23684210526315788
430,0.0
431,0.0
432,0.0
433,0.2
434,0.16666666666666666
435,0.10714285714285714
436,0.14285714285714285
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.3611111111111111
444,0.3684210526315789
445,0.14285714285714285
446,0.1875
447,0.20689655172413793
448,0.2972972972972973
449,0.17857142857142858
450,0.2903225806451613
451,0.21212121212121213
452,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.2972972972972973
465,0.14285714285714285
466,0.16666666666666666
467,0.16666666666666666
468,0.20689655172413793
469,0.06896551724137931
470,0.0
471,0.0
472,0.0
473,0.28125
474,0.25
475,0.32432432432432434
476,0.24242424242424243
477,0.3103448275862069
478,0.47058823529411764
479,0.4411764705882353
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.3142857142857143
496,0.23333333333333334
497,0.16666666666666666
498,0.21875
499,0.16129032258064516
500,0.25
501,0.32142857142857145
502,0.1875
503,0.3055555555555556
504,0.2647058823529412
505,0.26666666666666666
506,0.3673469387755102
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.34285714285714286
521,0.375
522,0.2
523,0.23333333333333334
524,0.2
525,0.2647058823529412
526,0.3870967741935484
527,0.20689655172413793
528,0.21212121212121213
529,0.2
530,0.2777777777777778
531,0.34285714285714286
532,0.0
533,0.0
534,0.0
535,0.2972972972972973
536,0.48717948717948717
537,0.2413793103448276
538,0.16129032258064516
539,0.0
540,0.0
541,0.0
542,0.28125
543,0.2727272727272727
544,0.1935483870967742
545,0.4117647058823529
546,0.0
547,0.0
548,0.0
549,0.42857142857142855
550,0.38235294117647056
551,0.03571428571428571
552,0.23529411764705882
553,0.07407407407407407
554,0.35294117647058826
555,0.375
556,0.2727272727272727
557,0.0
558,0.0
559,0.0
560,0.0
561,0.30303030303030304
562,0.35
563,0.2647058823529412
564,0.10344827586206896
565,0.15625
566,0.13333333333333333
567,0.0
568,0.0
569,0.0
570,0.3888888888888889
571,0.35294117647058826
572,0.30303030303030304
573,0.2857142857142857
574,0.29411764705882354
575,0.24242424242424243
576,0.14814814814814814
577,0.0
578,0.0
579,0.0
580,0.2857142857142857
581,0.26666666666666666
582,0.22580645161290322
583,0.3235294117647059
584,0.1875
585,0.2571428571428571
586,0.15625
587,0.23529411764705882
588,0.3611111111111111
589,0.28125
590,0.25
591,0.3793103448275862
592,0.4594594594594595
593,0.15625
594,0.3333333333333333
595,0.4358974358974359
596,0.28125
597,0.25806451612903225
598,0.3142857142857143
599,0.20689655172413793
600,0.39473684210526316
601,0.24242424242424243
602,0.3611111111111111
603,0.34285714285714286
604,0.0
