,Opp_hits
0,12
1,14
2,15
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
14,17
15,0
16,0
17,0
20,15
21,0
22,0
23,0
24,0
25,19
26,5
27,12
28,0
29,0
30,0
31,8
32,4
33,4
34,1
35,2
36,11
37,3
38,17
39,7
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,13
51,8
52,9
53,11
54,10
55,14
56,6
57,4
58,8
59,20
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,13
68,18
69,9
70,5
71,4
72,9
73,0
74,0
75,0
76,0
77,12
78,9
79,8
80,0
81,0
82,0
83,4
84,10
85,12
86,0
87,0
88,0
89,0
90,0
91,0
92,7
93,7
94,2
95,11
96,5
97,13
98,5
99,9
100,5
101,7
102,7
103,9
104,8
105,12
106,15
107,7
108,5
109,9
110,9
111,6
112,8
113,7
114,4
115,8
116,16
117,10
118,6
119,0
120,0
121,0
122,8
123,12
124,8
125,7
126,10
127,11
128,9
129,9
130,4
131,7
132,0
133,0
134,0
135,19
136,7
137,12
138,18
139,8
140,11
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,12
151,9
152,12
153,21
154,0
155,0
156,0
157,11
158,10
159,5
160,5
161,11
162,6
163,9
164,12
165,10
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,18
180,6
181,15
182,0
183,0
184,0
185,8
186,7
187,11
188,0
189,0
190,0
191,11
192,12
193,13
194,8
195,13
196,21
197,16
198,5
199,6
200,16
201,4
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,8
211,6
212,4
213,7
214,6
215,9
216,5
217,8
218,7
219,0
220,0
221,0
222,9
223,16
224,3
225,4
226,13
227,13
228,12
229,0
230,0
231,0
232,4
233,11
234,0
235,16
236,9
237,15
238,3
239,17
240,9
241,10
242,9
243,10
244,15
245,0
246,0
247,0
248,9
249,2
250,12
251,6
252,0
253,0
254,0
255,11
256,13
257,13
258,8
259,7
260,8
261,0
262,0
263,0
264,10
265,14
266,10
267,6
268,9
269,12
270,5
271,9
272,8
273,4
274,14
275,16
276,6
277,0
278,0
279,0
280,0
281,0
282,0
283,10
284,6
287,0
288,0
289,13
290,14
291,14
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,9
306,5
307,4
308,8
309,9
310,5
311,10
312,9
313,21
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,9
322,12
323,9
324,16
325,12
326,10
327,11
328,12
329,11
330,0
331,0
332,0
333,7
334,5
335,4
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
350,6
351,9
352,5
353,10
354,9
355,8
356,9
357,3
358,10
359,7
360,7
361,11
362,0
365,0
366,11
367,4
368,10
369,7
370,10
371,9
372,9
375,10
376,12
377,17
378,5
379,16
380,10
381,8
382,5
383,7
384,5
385,5
386,5
387,9
388,9
389,7
390,11
391,7
392,15
393,0
394,0
395,0
396,0
397,0
398,0
399,7
400,7
401,5
402,0
403,0
404,0
405,0
406,9
407,13
408,16
409,12
410,10
411,17
412,0
413,0
414,10
415,8
416,9
417,11
418,6
419,15
420,13
421,10
422,5
423,16
424,6
425,11
426,5
427,18
428,9
429,9
430,0
431,0
432,0
433,6
434,5
435,3
436,4
437,0
438,0
439,0
440,0
441,0
442,0
443,13
444,14
445,4
446,6
447,6
448,11
449,5
450,9
451,7
452,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,11
465,4
466,4
467,5
468,12
469,2
470,0
471,0
472,0
473,9
474,8
475,12
476,8
477,9
478,16
479,15
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,11
496,7
497,5
498,7
499,5
500,8
501,9
502,6
503,11
504,9
505,8
506,18
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,12
521,12
522,6
523,7
524,6
525,9
526,12
527,6
528,7
529,6
530,10
531,12
532,0
533,0
534,0
535,11
536,19
537,7
538,5
539,0
540,0
541,0
542,9
543,9
544,6
545,14
546,0
547,0
548,0
549,15
550,13
551,1
552,8
553,2
554,12
555,15
556,9
557,0
558,0
559,0
560,0
561,10
562,14
563,9
564,3
565,5
566,4
567,0
568,0
569,0
570,14
571,12
572,10
573,10
574,10
575,8
576,4
577,0
578,0
579,0
580,8
581,8
582,7
583,11
584,6
585,9
586,5
587,8
588,13
589,9
590,8
591,11
592,17
593,5
594,11
595,17
596,9
597,8
598,11
599,6
600,15
601,8
602,13
603,12
604,0
605,0
606,0
607,11
608,5
609,14
610,7
611,11
612,6
613,0
614,0
615,0
616,12
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,8
636,12
