,Opp_walks
0,1
1,2
2,4
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
14,3
15,0
16,0
17,0
20,1
21,0
22,0
23,0
24,0
25,6
26,3
27,6
28,0
29,0
30,0
31,1
32,1
33,4
34,0
35,1
36,3
37,3
38,1
39,2
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,3
51,4
52,6
53,5
54,2
55,3
56,8
57,1
58,2
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,3
68,4
69,2
70,3
71,2
72,2
73,0
74,0
75,0
76,0
77,2
78,0
79,1
80,0
81,0
82,0
83,0
84,8
85,3
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,3
94,1
95,5
96,4
97,6
98,2
99,0
100,3
101,3
102,2
103,3
104,1
105,0
106,2
107,1
108,0
109,3
110,3
111,5
112,1
113,3
114,0
115,1
116,5
117,3
118,3
119,0
120,0
121,0
122,2
123,4
124,3
125,4
126,2
127,0
128,1
129,2
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,2
138,2
139,2
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,3
151,4
152,1
153,3
154,0
155,0
156,0
157,4
158,4
159,0
160,0
161,5
162,1
163,2
164,4
165,3
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,2
180,0
181,3
182,0
183,0
184,0
185,1
186,6
187,0
188,0
189,0
190,0
191,1
192,2
193,3
194,1
195,3
196,2
197,1
198,4
199,2
200,2
201,3
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,3
212,1
213,4
214,2
215,8
216,1
217,2
218,2
219,0
220,0
221,0
222,3
223,1
224,0
225,4
226,6
227,1
228,3
229,0
230,0
231,0
232,1
233,3
234,0
235,1
236,1
237,3
238,0
239,5
240,4
241,4
242,2
243,1
244,2
245,0
246,0
247,0
248,1
249,2
250,1
251,6
252,0
253,0
254,0
255,0
256,1
257,0
258,3
259,1
260,2
261,0
262,0
263,0
264,1
265,2
266,3
267,1
268,8
269,3
270,2
271,1
272,4
273,0
274,4
275,3
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,2
287,0
288,0
289,2
290,2
291,4
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,2
306,1
307,5
308,0
309,1
310,4
311,2
312,3
313,2
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,4
322,2
323,1
324,1
325,2
326,0
327,2
328,2
329,1
330,0
331,0
332,0
333,1
334,2
335,3
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
350,1
351,3
352,1
353,0
354,2
355,4
356,1
357,2
358,1
359,4
360,0
361,5
362,0
365,0
366,2
367,4
368,2
369,2
370,0
371,1
372,1
375,5
376,1
377,2
378,4
379,1
380,1
381,1
382,1
383,0
384,2
385,4
386,2
387,4
388,0
389,6
390,1
391,2
392,3
393,0
394,0
395,0
396,0
397,0
398,0
399,4
400,0
401,4
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,3
410,3
411,1
412,0
413,0
414,6
415,2
416,5
417,2
418,1
419,6
420,3
421,2
422,2
423,1
424,1
425,2
426,4
427,1
428,2
429,5
430,0
431,0
432,0
433,0
434,0
435,4
436,4
437,0
438,0
439,0
440,0
441,0
442,0
443,3
444,2
445,2
446,1
447,3
448,2
449,3
450,1
451,1
452,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,3
466,6
467,2
468,1
469,0
470,0
471,0
472,0
473,5
474,1
475,1
476,1
477,3
478,0
479,3
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,2
498,3
499,2
500,4
501,3
502,1
503,8
504,3
505,6
506,4
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,3
522,3
523,4
524,2
525,2
526,2
527,3
528,1
529,1
530,2
531,0
532,0
533,0
534,0
535,7
536,5
537,2
538,3
539,0
540,0
541,0
542,1
543,4
544,1
545,5
546,0
547,0
548,0
549,4
550,3
551,3
552,4
553,5
554,4
555,1
556,2
557,0
558,0
559,0
560,0
561,3
562,2
563,3
564,3
565,1
566,1
567,0
568,0
569,0
570,1
571,4
572,2
573,2
574,6
575,3
576,3
577,0
578,0
579,0
580,6
581,3
582,6
583,5
584,2
585,0
586,3
587,2
588,1
589,2
590,1
591,7
592,3
593,0
594,3
595,4
596,4
597,2
598,4
599,4
600,5
601,3
602,2
603,4
604,0
605,0
606,0
607,3
608,3
609,3
610,1
611,5
612,4
613,0
614,0
615,0
616,3
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,5
636,2
637,1
638,1
639,2
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,3
648,2
649,7
650,6
651,2
652,1
653,0
654,2
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,2
663,2
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
682,2
683,5
684,2
685,1
686,2
687,1
690,7
691,3
692,2
693,0
694,2
695,4
696,2
697,2
698,3
699,1
700,3
701,5
702,0
703,6
704,0
705,0
706,0
707,3
708,8
709,2
710,3
711,2
712,3
713,4
714,4
715,2
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,2
724,1
725,6
726,0
727,0
728,0
729,0
730,0
731,0
732,3
733,0
734,3
735,1
736,0
737,0
738,0
739,2
740,2
741,3
742,0
743,0
744,0
745,2
746,2
747,3
748,1
749,3
750,2
751,0
754,3
755,1
756,3
757,7
758,3
759,3
760,0
761,2
762,3
763,5
764,2
765,4
766,3
767,7
768,5
769,4
770,4
771,7
772,0
773,0
774,0
775,0
776,4
777,4
778,2
779,3
780,2
781,0
782,0
783,0
784,0
785,0
786,0
787,5
788,3
789,1
790,4
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,3
805,5
806,7
807,4
808,1
809,4
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,2
818,6
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,4
828,4
829,3
830,3
831,7
832,4
833,0
834,0
835,0
836,3
837,2
838,1
839,4
840,2
841,5
842,4
843,1
844,5
845,4
846,2
847,4
848,4
849,2
850,3
851,0
852,0
853,0
854,0
855,0
856,0
857,2
858,1
859,4
860,4
861,5
862,2
863,0
864,0
865,0
866,2
867,3
868,3
869,4
870,3
871,3
872,0
873,0
874,0
875,0
876,4
877,2
878,3
879,3
880,3
881,2
882,4
883,5
884,4
885,3
886,2
887,2
888,0
889,0
890,0
891,0
892,2
893,2
894,0
895,0
896,0
897,2
898,1
899,0
900,0
901,0
902,0
903,2
904,2
905,2
906,0
907,0
908,0
909,1
910,5
911,1
912,2
913,2
914,4
915,4
916,6
917,2
918,2
919,3
920,6
921,0
922,1
923,3
924,4
925,3
926,3
927,1
928,1
929,1
930,4
931,4
932,1
933,2
934,0
935,0
936,0
937,4
938,4
939,2
940,7
941,1
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,2
950,1
951,1
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,2
960,5
961,1
962,0
963,0
964,0
965,7
966,4
967,4
968,1
969,0
970,0
971,0
972,4
973,3
974,4
975,0
976,1
977,0
978,0
979,0
980,6
981,4
982,5
983,3
984,3
